alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
-8,0,-0.418031,0.011868,0,0.011868,0,0,-0.046931,0,0,10,-0.0561
-7.5,0,-0.382925,0.009959,0,0.009959,0,0,-0.047066,0,0,10,-0.061
-7,0,-0.347735,0.008213,0,0.008213,0,0,-0.047199,0,0,10,-0.067
-6.5,0,-0.31247,0.006632,0,0.006632,0,0,-0.04733,0,0,10,-0.0743
-6,0,-0.277135,0.005217,0,0.005217,0,0,-0.047458,0,0,10,-0.0836
-5.5,0,-0.241737,0.003969,0,0.003969,0,0,-0.047583,0,0,10,-0.0956
-5,0,-0.206284,0.002891,0,0.002891,0,0,-0.047706,0,0,10,-0.1118
-4.5,0,-0.170784,0.001981,0,0.001981,0,0,-0.047826,0,0,10,-0.1347
-4,0,-0.135242,0.001243,0,0.001243,0,0,-0.047943,0,0,10,-0.1699
-3.5,0,-0.099667,0.000675,0,0.000675,0,0,-0.048057,0,0,10,-0.2301
-3,0,-0.064065,0.00028,0,0.00028,0,0,-0.048169,0,0,10,-0.3575
-2.5,0,-0.028443,0.000056,0,0.000056,0,0,-0.048278,0,0,10,-0.8039
-2,0,0.00719,0.000005,0,0.000005,0,0,-0.048384,0,0,10,3.1755
-1.5,0,0.042829,0.000128,0,0.000128,0,0,-0.048487,0,0,10,0.5323
-1,0,0.078464,0.000422,0,0.000422,0,0,-0.048587,0,0,10,0.2901
-0.5,0,0.114091,0.00089,0,0.00089,0,0,-0.048684,0,0,10,0.1992
0,0,0.1497,0.001531,0,0.001531,0,0,-0.048778,0,0,10,0.1515
0.5,0,0.185286,0.002343,0,0.002343,0,0,-0.048869,0,0,10,0.1221
1,0,0.22084,0.003328,0,0.003328,0,0,-0.048957,0,0,10,0.1022
1.5,0,0.256355,0.004484,0,0.004484,0,0,-0.049042,0,0,10,0.0878
2,0,0.291825,0.00581,0,0.00581,0,0,-0.049123,0,0,10,0.0769
2.5,0,0.327242,0.007306,0,0.007306,0,0,-0.049202,0,0,10,0.0684
3,0,0.362599,0.008971,0,0.008971,0,0,-0.049277,0,0,10,0.0614
3.5,0,0.397889,0.010803,0,0.010803,0,0,-0.04935,0,0,10,0.0558
4,0,0.433105,0.012802,0,0.012802,0,0,-0.049419,0,0,10,0.051
4.5,0,0.468239,0.014966,0,0.014966,0,0,-0.049485,0,0,10,0.0469
5,0,0.503285,0.017294,0,0.017294,0,0,-0.049547,0,0,10,0.0433
5.5,0,0.538236,0.019783,0,0.019783,0,0,-0.049607,0,0,10,0.0402
6,0,0.573085,0.022433,0,0.022433,0,0,-0.049663,0,0,10,0.0375
6.5,0,0.607825,0.025241,0,0.025241,0,0,-0.049715,0,0,10,0.0351
7,0,0.642449,0.028206,0,0.028206,0,0,-0.049765,0,0,10,0.0329
7.5,0,0.676951,0.031324,0,0.031324,0,0,-0.049811,0,0,10,0.0309
8,0,0.711323,0.034595,0,0.034595,0,0,-0.049854,0,0,10,0.029
8.5,0,0.74556,0.038016,0,0.038016,0,0,-0.049893,0,0,10,0.0274
9,0,0.779654,0.041583,0,0.041583,0,0,-0.049929,0,0,10,0.0258
9.5,0,0.813599,0.045296,0,0.045296,0,0,-0.049962,0,0,10,0.0244
10,0,0.847388,0.049151,0,0.049151,0,0,-0.049991,0,0,10,0.023
10.5,0,0.881016,0.053144,0,0.053144,0,0,-0.050017,0,0,10,0.0217
11,0,0.914476,0.057274,0,0.057274,0,0,-0.050039,0,0,10,0.0205
11.5,0,0.947762,0.061538,0,0.061538,0,0,-0.050058,0,0,10,0.0194
12,0,0.980867,0.065932,0,0.065932,0,0,-0.050074,0,0,10,0.0183
